feature,shap_importance
num_places,0.46855602
all_total_area,0.23096272
num_buildings,0.038080104
all_avg_building_area,0.037696816
all_school,0.032488223
all_services,0.027346523
residential_lsoa_area_ratio,0.02575429
office_avg_building_area,0.025105687
all_store,0.021835847
all_hospital,0.019910282
all_lsoa_area_ratio,0.018903624
retail_avg_building_area,0.018867483
residential_total_area,0.015593382
church_cathedral,0.015543915
all_preschool,0.015436438
residential_avg_building_area,0.014877899
all_park,0.010692883
community_services_non_profits,0.00985109
all_dentist,0.009678554
hotel,0.008367742
all_service,0.008324727
all_home,0.007993254
all_restaurant,0.007919881
retail_lsoa_area_ratio,0.0076063513
all_agencies,0.006666907
caterer,0.0066190637
all_shop,0.0065547423
all_department,0.006377424
office_lsoa_area_ratio,0.005931582
all_venue,0.0057399124
supermarket,0.0055622905
all_remodeling,0.0054625478
gym,0.0054354803
college_university,0.0051930286
all_education,0.005030046
all_church,0.004661114
health_and_medical,0.004394281
counseling_and_mental_health,0.004335456
all_care,0.004236011
population_439,0.0041042124
retail_total_area,0.004054838
pet_groomer,0.0039555724
all_tours,0.0037037136
all_pub,0.003573235
all_salon,0.0033337427
office_total_area,0.003109308
all_media,0.0030454502
painting,0.0030094997
psychic,0.0028893268
pharmacy,0.0028637585
all_contractors,0.0027849802
all_consultant,0.0025778334
commercial_avg_building_area,0.0023641153
active_life,0.0022847722
all_planning,0.0021107295
all_dealer,0.0020434423
automotive,0.0020131955
all_cafe,0.0019886354
shopping,0.0019642264
all_office,0.0019038823
all_equipment,0.0018748504
all_cleaning,0.0018098154
all_estate,0.0016814892
theatre,0.0016811617
all_club,0.0015597774
all_repair,0.0014514955
commercial_total_area,0.0014182107
all_supplier,0.0014137938
all_center,0.0013611125
all_station,0.001238997
electronics,0.0012332137
all_organizations,0.0012301559
attractions_and_activities,0.0012182224
all_organization,0.0011775914
river,0.0010823704
all_hall,0.001074836
all_building,0.0010649309
all_contractor,0.0010274941
barber,0.0009906479
population_747,0.0009757882
acupuncture,0.0009265892
business_consulting,0.0009173545
all_entertainment,0.000909131
commercial_lsoa_area_ratio,0.00082598545
population_537,0.0008142944
builders,0.0008022191
public_service_and_government,0.00078214786
population_648,0.00073669053
all_supplies,0.00073602406
population_629,0.0007359494
accommodation,0.0007081647
dog_walkers,0.00069800665
all_distribution,0.0006755388
chemical_plant,0.0006366279
eyewear_and_optician,0.00061954325
population_578,0.0006110278
all_team,0.0006008496
travel,0.0005674145
population_623,0.00054434757
books_mags_music_and_video,0.00050533406
hostel,0.0005014318
stadium_arena,0.00049962796
all_therapy,0.00047163697
population_610,0.00045218642
population_544,0.00044510615
landscaping,0.0004146073
all_facility,0.00040400363
spas,0.00039529245
interior_design,0.00038115465
all_companies,0.0003803145
key_and_locksmith,0.00037567038
business_advertising,0.00037390704
kitchen_and_bath,0.000354514
linen,0.00034592306
all_law,0.00033380667
food,0.00033301383
population_499,0.0003292727
all_museum,0.00032854354
hearing_aids,0.00031388263
chiropractor,0.0002936755
plumbing,0.00029105475
population_749,0.00027682295
movers,0.00026818406
metal_fabricator,0.00024893705
population_522,0.00022856744
all_architect,0.00021155394
parking,0.00021094584
population_881,0.00021000272
all_installation,0.00018948474
all_bar,0.0001844806
diner,0.00016228817
population_494,0.00016191704
all_broker,0.0001603685
b2b_science_and_technology,0.00014426652
fair,0.00014008036
all_apartments,0.00013373757
population_540,0.00013138866
population_794,0.00012228906
all_spa,0.00011681723
all_union,9.935504e-05
accountant,7.0370224e-05
all_rentals,6.723138e-05
all_accessories,6.6054745e-05
kids_recreation_and_party,6.2801504e-05
telecommunications,5.1170766e-05
all_goods,4.863312e-05
art_gallery,4.3202745e-05
all_removal,3.8758622e-05
retail,3.7574355e-05
population_519,2.8814908e-05
window_washing,2.0338655e-05
all_photography,1.0598165e-05
videographer,0.0
specialty_foods,0.0
all_space,0.0
swimming_pool,0.0
swimming_instructor,0.0
superstore,0.0
sign_making,0.0
railroad_freight,0.0
structure_and_geography,0.0
population_163,0.0
steel_fabricators,0.0
population_374,0.0
population_426,0.0
population_412,0.0
population_415,0.0
steakhouse,0.0
radio_and_television_commercials,0.0
topic_publisher,0.0
shades_and_blinds,0.0
race_track,0.0
real_estate_investment,0.0
vitamins_and_supplements,0.0
used_vintage_and_consignment,0.0
university_housing,0.0
resort,0.0
roofing,0.0
warehouses,0.0
trusts,0.0
real_estate_agent,0.0
veterinarian,0.0
screen_printing_t_shirt_printing,0.0
travel_agents,0.0
population_000,0.0
security_systems,0.0
population_064,0.0
sewing_and_alterations,0.0
public_relations,0.0
sports_club_and_league,0.0
population_616,0.0
population_452,0.0
population_654,0.0
population_669,0.0
population_668,0.0
population_662,0.0
population_659,0.0
population_658,0.0
population_657,0.0
population_655,0.0
population_652,0.0
population_479,0.0
population_651,0.0
population_650,0.0
population_649,0.0
population_645,0.0
population_642,0.0
population_641,0.0
population_638,0.0
population_672,0.0
population_673,0.0
population_674,0.0
population_675,0.0
population_822,0.0
population_800,0.0
population_780,0.0
population_761,0.0
population_760,0.0
population_759,0.0
population_756,0.0
population_742,0.0
population_720,0.0
population_712,0.0
population_700,0.0
population_690,0.0
population_686,0.0
population_680,0.0
population_678,0.0
population_637,0.0
population_635,0.0
population_634,0.0
population_580,0.0
population_571,0.0
population_564,0.0
population_559,0.0
population_551,0.0
population_543,0.0
population_541,0.0
population_538,0.0
population_527,0.0
population_520,0.0
population_511,0.0
population_508,0.0
population_493,0.0
population_486,0.0
population_485,0.0
population_481,0.0
population_576,0.0
population_581,0.0
population_633,0.0
population_583,0.0
population_632,0.0
population_631,0.0
population_628,0.0
population_626,0.0
population_624,0.0
population_620,0.0
psychotherapist,0.0
population_615,0.0
population_613,0.0
population_607,0.0
population_606,0.0
population_603,0.0
population_600,0.0
population_599,0.0
population_594,0.0
public_plaza,0.0
housing_cooperative,0.0
psychologist,0.0
psychic_medium,0.0
cinema,0.0
chocolatier,0.0
casino,0.0
carpenter,0.0
all_counseling,0.0
car_window_tinting,0.0
canal,0.0
cafetaria,0.0
all_transportation,0.0
all_management,0.0
all_supply,0.0
all_business,0.0
all_temple,0.0
bubble_tea,0.0
all_production,0.0
all_engineers,0.0
commercial_industrial,0.0
computer_coaching,0.0
all_clinic,0.0
all_institute,0.0
eat_and_drink,0.0
donuts,0.0
all_trainer,0.0
doctor,0.0
all_course,0.0
desserts,0.0
all_wholesaler,0.0
dermatologist,0.0
delicatessen,0.0
all_clothing,0.0
currency_exchange,0.0
courthouse,0.0
all_surgeon,0.0
bridge,0.0
brewery,0.0
all_class,0.0
arcade,0.0
all_house,0.0
atms,0.0
arts_and_crafts,0.0
all_restoration,0.0
armed_forces_branch,0.0
all_designer,0.0
all_manufacturer,0.0
all_rental,0.0
all_studio,0.0
all_shelter,0.0
all_medicine,0.0
all_lounge,0.0
airport,0.0
all_agency,0.0
audiologist,0.0
all_company,0.0
bowling_alley,0.0
all_stores,0.0
boutique,0.0
bookstore,0.0
all_training,0.0
all_garden,0.0
bed_and_breakfast,0.0
beach,0.0
bakery,0.0
auto_customization,0.0
b2b_textiles,0.0
b2b_machinery_and_tools,0.0
auto_manufacturers_and_distributors,0.0
all_provider,0.0
all_insurance,0.0
auto_detailing,0.0
electrician,0.0
embassy,0.0
all_room,0.0
monument,0.0
all_association,0.0
naturopathic_holistic,0.0
nature_reserve,0.0
motor_freight_trucking,0.0
mosque,0.0
mortgage_lender,0.0
all_metals,0.0
nurse_practitioner,0.0
all_development,0.0
all_wear,0.0
massage,0.0
masonry_concrete,0.0
makeup_artist,0.0
lodge,0.0
notary_public,0.0
nutritionist,0.0
lawyer,0.0
pet_boarding,0.0
private_investigation,0.0
pool_billiards,0.0
podiatrist,0.0
plasterer,0.0
all_piercing,0.0
pet_sitting,0.0
performing_arts,0.0
occupational_safety,0.0
all_mill,0.0
outdoor_gear,0.0
osteopathic_physician,0.0
osteopath,0.0
orthodontist,0.0
optometrist,0.0
library,0.0
laundromat,0.0
emissions_inspection,0.0
firework_retailer,0.0
funeral_services_and_cemeteries,0.0
fruits_and_vegetables,0.0
fountain,0.0
all_stadium,0.0
food_stand,0.0
florist,0.0
financial_advising,0.0
all_manufacturers,0.0
fashion,0.0
all_market,0.0
family_practice,0.0
escape_rooms,0.0
all_testing,0.0
all_businesses,0.0
furniture_assembly,0.0
furniture_wholesalers,0.0
land_surveying,0.0
home_security,0.0
lake,0.0
kiosk,0.0
junk_removal_and_hauling,0.0
investing,0.0
all_gardening,0.0
housing_authorities,0.0
home_developer,0.0
gardener,0.0
home_decor,0.0
all_coach,0.0
hair_stylist,0.0
hair_replacement,0.0
general_festivals,0.0
general_dentistry,0.0
population_889,0.0
